 ,Player,Id,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,COMB
113,Rudy Gay,gayru01,PF,32,SAS,6,182,17.3,0.587,0.169,0.127,5.5,26.4,15.2,11.9,2.4,1.8,16.7,21.2,0.1,0.2,0.3,0.076,-1.4,1.2,-0.2,0.1,3.94
114,Brandon Ingram,ingrabr01,SF,21,LAL,3,82,17.3,0.573,0.244,0.244,7.6,8.8,8.2,5,1.7,4.6,15,26.3,0,0,0.1,0.036,-1.4,-1.8,-3.3,0,0.01
115,Jabari Parker,parkeja01,PF,23,CHI,7,190,17.3,0.535,0.274,0.211,6.4,17.4,12,14.5,1.3,1.9,11.1,26.5,0.1,0,0.1,0.017,-0.4,-1.9,-2.3,0,0.31
116,Cameron Payne,payneca01,PG,24,CHI,7,159,17.2,0.61,0.421,0.211,4.2,7.4,5.8,23.2,1.5,1.1,12.6,19.4,0.4,-0.1,0.3,0.095,2.7,-3,-0.3,0.1,3.91
117,Dewayne Dedmon,dedmode01,C,29,ATL,4,80,17.2,0.558,0.269,0.154,7.5,26.6,17,5.7,0.6,8.2,3.5,14.7,0.1,0.1,0.3,0.155,-4,2.9,-1.1,0,2.67
118,Myles Turner,turnemy01,C,22,IND,7,187,17.1,0.548,0.143,0.214,8.2,16.3,12.3,6,0.8,7,9.5,20.1,0.2,0.3,0.5,0.128,-0.9,3,2.1,0.2,7.63
119,Alec Burks,burksal01,SG,27,UTA,5,55,17.1,0.58,0.381,0.524,0,13.6,7.2,13.8,1.7,1.4,7.2,21.7,0.1,0.1,0.2,0.176,0.3,0.9,1.1,0,2.33
120,Taj Gibson,gibsota01,PF,33,MIN,7,187,17,0.617,0.094,0.264,11.4,17.2,14.2,4.8,1.5,3.8,13.2,14.8,0.3,0.1,0.4,0.108,0.1,0.8,0.9,0.1,5.27
121,Shaun Livingston,livinsh01,PG,33,GSW,4,57,17,0.619,0,0.25,14.8,12.5,13.6,8.6,2.5,0,14.5,15.4,0.1,0.1,0.2,0.178,2.3,-0.6,1.7,0.1,3.51
122,Richaun Holmes,holmeri01,C,25,PHO,5,21,17,0.532,0,2,21.1,27.5,24.2,12.7,2.3,3.9,21,9.8,0,0,0.1,0.149,-0.1,3.6,3.5,0,2.05
123,Antonio Blakeney,blakean01,SG,22,CHI,7,124,17,0.603,0.321,0.25,0.9,12,6.6,5.3,0.4,1.5,3.1,22.3,0.2,-0.1,0.2,0.062,0.4,-4.8,-4.4,-0.1,-0.32
124,Troy Daniels,danietr01,SG,27,PHO,3,25,16.9,0.652,0.625,0.125,4.4,4.6,4.5,12.5,3.8,0,10.6,16.4,0,0,0.1,0.121,3.1,-1.7,1.5,0,1.45
125,Pascal Siakam,siakapa01,PF,24,TOR,8,208,16.8,0.624,0.203,0.203,5.8,20.9,13.8,11.7,2.3,1.9,16.7,16.9,0.3,0.4,0.6,0.15,0.6,3,3.7,0.3,10.11
126,Thon Maker,makerth01,C,21,MIL,3,41,16.8,0.69,0.583,0.333,2.7,26.8,16.3,6.6,0,5.6,12.7,15.7,0.1,0.1,0.2,0.218,-0.2,4,3.7,0.1,4.11
127,George Hill,hillge01,PG,32,CLE,7,180,16.8,0.635,0.262,0.231,4.1,4.1,4.1,14.4,1.3,0.5,11.2,18.6,0.5,0,0.4,0.115,3,-4.1,-1.2,0,3.64
128,Jaren Jackson,jacksja02,PF,19,MEM,6,136,16.7,0.546,0.241,0.389,6.5,19.2,12.8,10.4,2.5,4.1,10,23.1,0.1,0.3,0.4,0.148,-1.4,2.9,1.5,0.1,5.45
129,Miles Bridges,bridgmi02,SF,20,CHO,7,133,16.6,0.682,0.421,0.184,3.1,15.8,9.3,8.5,1.8,1.3,10.9,14.9,0.3,0.1,0.4,0.144,2.3,-0.2,2.1,0.1,5.63
130,De'Aaron Fox,foxde01,PG,21,SAC,8,259,16.6,0.539,0.179,0.509,2,10.2,6.1,28.5,2.1,1.3,17.2,25,0.2,0.2,0.4,0.077,0.4,-0.8,-0.4,0.1,4.88
