,Unnamed: 0,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,positions,slug,steals,team,turnovers,filename
132,132,22,545,1024,256,312,10,216,78,75,393,204,103,2832,Raymond Felton,51,180,['POINT GUARD'],feltora01,118,CHARLOTTE BOBCATS,230,totals_2007.csv
133,133,33,108,663,98,286,16,189,82,16,273,90,104,1823,Michael Finley,34,76,['SMALL FORWARD'],finlemi01,32,SAN ANTONIO SPURS,46,totals_2007.csv
134,134,32,274,675,307,156,6,119,82,61,258,262,48,2287,Derek Fisher,30,234,['SHOOTING GUARD'],fishede01,83,UTAH JAZZ,120,totals_2007.csv
135,135,23,595,902,293,69,8,183,75,71,393,240,21,2243,T.J. Ford,53,186,['POINT GUARD'],fordtj01,101,TORONTO RAPTORS,231,totals_2007.csv
136,136,30,1,30,13,1,0,30,14,6,15,10,0,158,Danny Fortson,13,38,['CENTER'],fortsda01,1,SEATTLE SUPERSONICS,15,totals_2007.csv
137,137,30,57,260,122,1,37,356,75,43,122,78,0,1740,Jeff Foster,253,202,['CENTER'],fosteje01,62,INDIANA PACERS,70,totals_2007.csv
138,138,23,232,691,192,185,21,169,82,12,300,164,68,1879,Randy Foye,49,184,['POINT GUARD'],foyera01,53,MINNESOTA TIMBERWOLVES,152,totals_2007.csv
139,139,31,19,85,25,0,50,75,48,6,48,11,0,475,Adonal Foyle,51,61,['CENTER'],foylead01,11,GOLDEN STATE WARRIORS,23,totals_2007.csv
140,140,29,170,343,211,111,12,124,44,30,140,175,42,1237,Steve Francis,33,126,['SHOOTING GUARD'],francst01,41,NEW YORK KNICKS,100,totals_2007.csv
141,141,25,7,54,6,22,1,16,19,0,16,5,3,147,Matt Freije,8,13,['POWER FORWARD'],freijma01,3,ATLANTA HAWKS,3,totals_2007.csv
142,142,23,67,689,108,18,42,304,72,59,298,85,3,1896,Channing Frye,91,216,['POWER FORWARD'],fryech01,36,NEW YORK KNICKS,100,totals_2007.csv
143,143,28,29,228,90,1,32,152,54,8,108,42,0,840,Dan Gadzuric,94,141,['CENTER'],gadzuda01,22,MILWAUKEE BUCKS,49,totals_2007.csv
144,144,29,125,529,78,193,15,282,67,60,222,57,66,1909,Jorge Garbajosa,48,90,['POWER FORWARD'],garbajo01,78,TORONTO RAPTORS,64,totals_2007.csv
145,145,25,87,380,114,149,43,152,79,5,163,95,53,1410,Francisco García,53,190,['SMALL FORWARD'],garcifr01,45,SACRAMENTO KINGS,70,totals_2007.csv
146,146,30,313,1341,498,56,126,792,76,76,638,416,12,2995,Kevin Garnett,183,184,['POWER FORWARD'],garneke01,89,MINNESOTA TIMBERWOLVES,205,totals_2007.csv
147,147,30,14,70,18,32,0,30,33,0,22,16,11,277,Pat Garrity,12,37,['POWER FORWARD'],garripa01,7,ORLANDO MAGIC,14,totals_2007.csv
148,148,26,201,858,400,11,126,432,59,59,462,299,3,2133,Pau Gasol,149,137,['CENTER'],gasolpa01,29,MEMPHIS GRIZZLIES,162,totals_2007.csv
149,149,20,100,760,209,143,74,255,78,43,321,152,52,2103,Rudy Gay,93,192,['SMALL FORWARD'],gayru01,71,MEMPHIS GRIZZLIES,140,totals_2007.csv
150,150,23,56,264,82,47,22,114,70,14,122,66,11,1239,Mickaël Gelabale,59,108,['SMALL FORWARD'],gelabmi01,24,SEATTLE SUPERSONICS,49,totals_2007.csv
151,151,29,33,370,48,150,23,156,60,17,146,36,53,1283,Devean George,57,143,['SMALL FORWARD'],georgde01,46,DALLAS MAVERICKS,51,totals_2007.csv
152,152,20,69,231,39,124,8,64,60,16,98,28,52,988,Daniel Gibson,28,94,['POINT GUARD'],gibsoda01,23,CLEVELAND CAVALIERS,44,totals_2007.csv
153,153,29,263,854,372,323,27,268,75,36,396,320,128,2060,Manu Ginóbili,59,155,['SHOOTING GUARD'],ginobma01,109,SAN ANTONIO SPURS,157,totals_2007.csv
154,154,29,63,381,87,122,5,105,61,6,176,71,52,1188,Gordan Giriček,24,122,['SHOOTING GUARD'],giricgo01,28,UTAH JAZZ,64,totals_2007.csv
155,155,25,1,17,2,0,0,6,13,4,8,1,0,81,Andreas Glyniadakis,2,19,['CENTER'],glynian01,0,SEATTLE SUPERSONICS,9,totals_2007.csv
156,156,24,119,723,233,42,13,282,73,60,338,189,16,2275,Ryan Gomes,125,169,['POWER FORWARD'],gomesry01,48,BOSTON CELTICS,105,totals_2007.csv
157,157,25,88,784,199,6,28,418,80,80,371,142,1,2238,Drew Gooden,263,210,['POWER FORWARD'],goodedr01,70,CLEVELAND CAVALIERS,115,totals_2007.csv
158,158,23,296,1338,440,375,17,223,82,51,609,380,155,2704,Ben Gordon,35,252,['SHOOTING GUARD'],gordobe01,64,CHICAGO BULLS,249,totals_2007.csv
159,159,24,44,388,131,31,4,193,79,21,192,110,9,1319,Joey Graham,55,161,['SMALL FORWARD'],grahajo01,30,TORONTO RAPTORS,49,totals_2007.csv
160,160,24,5,40,9,11,1,15,14,1,17,8,3,165,Stephen Graham,6,25,['SHOOTING GUARD'],grahast01,4,PORTLAND TRAIL BLAZERS,13,totals_2007.csv
161,161,23,114,868,294,288,61,267,82,57,398,236,110,2785,Danny Granger,114,245,['SMALL FORWARD'],grangda01,67,INDIANA PACERS,135,totals_2007.csv
162,162,21,83,739,159,258,24,140,81,26,310,128,95,1780,Gerald Green,68,198,['SMALL FORWARD'],greenge01,41,BOSTON CELTICS,120,totals_2007.csv
163,163,25,112,868,111,157,4,116,74,36,357,74,51,1842,Willie Green,42,144,['SHOOTING GUARD'],greenwi01,56,PHILADELPHIA 76ERS,106,totals_2007.csv
164,164,24,22,62,25,11,4,32,41,0,23,15,2,254,Orien Greene,12,38,['SHOOTING GUARD'],greenor01,17,INDIANA PACERS,28,totals_2007.csv
165,165,27,53,141,32,52,1,25,41,0,61,27,18,432,Lynn Greer,2,32,['SHOOTING GUARD'],greerly01,17,MILWAUKEE BUCKS,18,totals_2007.csv
166,166,32,59,129,19,6,4,69,54,1,61,15,0,585,Adrian Griffin,40,78,['SMALL FORWARD'],griffad01,32,CHICAGO BULLS,38,totals_2007.csv
167,167,24,4,27,5,1,7,18,13,0,7,4,0,92,Eddie Griffin,7,8,['POWER FORWARD'],griffed01,0,MINNESOTA TIMBERWOLVES,6,totals_2007.csv
168,168,22,1,4,0,0,0,1,2,0,1,0,0,13,Mike Hall,1,1,['SMALL FORWARD'],hallmi01,0,WASHINGTON WIZARDS,0,totals_2007.csv
169,169,28,285,1170,403,129,15,207,75,75,547,347,44,2763,Richard Hamilton,75,232,['SHOOTING GUARD'],hamilri01,59,DETROIT PISTONS,159,totals_2007.csv
170,170,30,99,656,309,39,11,236,77,2,322,237,13,1965,Matt Harpring,117,232,['SMALL FORWARD'],harprma01,52,UTAH JAZZ,118,totals_2007.csv
171,171,26,51,487,101,118,10,155,36,36,223,72,54,1208,Al Harrington,71,116,['POWER FORWARD'],harrial01,25,INDIANA PACERS,91,totals_2007.csv
