year	Lg	Team	W	L	W/L%	SRS	Pace	Rel Pace	ORtg	Rel ORtg	DRtg	Rel DRtg
2007	NBA	Orlando Magic	52	30	0.634	4.79	93.4	1	111.3	3.8	105.5	-2
2006	NBA	Orlando Magic	40	42	0.488	0.35	89.9	-2	104.9	-1.6	104.1	-2.4
2005	NBA	Orlando Magic	36	46	0.439	-1.26	88.3	-2.2	106.3	0.1	107.5	1.3
2004	NBA	Orlando Magic	36	46	0.439	-2.52	94.7	3.8	104.9	-1.2	107.3	1.2
2003	NBA	Orlando Magic	21	61	0.256	-7.25	90.8	0.7	102.7	-0.2	110.4	7.5
2002	NBA	Orlando Magic	42	40	0.512	-0.39	93.1	2.1	105.2	1.6	105	1.4
2001	NBA	Orlando Magic	44	38	0.537	1.25	93.2	2.5	107	2.5	105.3	0.8
2000	NBA	Orlando Magic	43	39	0.524	0.39	93.2	1.9	103.2	0.2	102.1	-0.9
1999	NBA	Orlando Magic	41	41	0.5	0.43	97.3	4.2	102.4	-1.7	101.7	-2.4
1998	NBA	Orlando Magic	33	17	0.66	3.11	88.8	-0.1	100.3	-1.9	97.4	-4.8
1997	NBA	Orlando Magic	41	41	0.5	-0.53	87.1	-3.2	102.6	-2.4	103.8	-1.2
1996	NBA	Orlando Magic	45	37	0.549	-0.07	88.3	-1.8	105.6	-1.1	106	-0.7
1995	NBA	Orlando Magic	60	22	0.732	5.4	91.8	0	112.9	5.3	106.9	-0.7
1994	NBA	Orlando Magic	57	25	0.695	6.44	95.1	2.2	115.1	6.8	107.8	-0.5
1993	NBA	Orlando Magic	50	32	0.61	3.68	95.2	0.1	110.8	4.5	106.7	0.4
1992	NBA	Orlando Magic	41	41	0.5	1.35	96.3	-0.5	108.5	0.5	107.1	-0.9
1991	NBA	Orlando Magic	21	61	0.256	-6.52	98	1.4	103.5	-4.7	110.5	2.3
1990	NBA	Orlando Magic	31	51	0.378	-3.79	99.5	1.7	105.9	-2	109.9	2
1989	NBA	Orlando Magic	18	64	0.22	-8.73	104.1	5.8	105.8	-2.3	114.3	6.2
2018	NBA	Philadelphia 76ers	47	27	0.635	2.72	101.6	1.6	112.5	2.3	109.6	-0.6
2017	NBA	Philadelphia 76ers	52	30	0.634	4.3	99.8	2.5	109.5	0.9	105	-3.6
2016	NBA	Philadelphia 76ers	28	54	0.341	-5.83	98.5	2.1	103.2	-5.6	108.9	0.1
2015	NBA	Philadelphia 76ers	10	72	0.122	-9.92	97.9	2.1	98.8	-7.6	109.2	2.8
2014	NBA	Philadelphia 76ers	18	64	0.22	-9.04	95.7	1.8	95.5	-10.1	104.8	-0.8
2013	NBA	Philadelphia 76ers	19	63	0.232	-10.66	99.2	5.3	99.4	-7.3	109.9	3.2
2012	NBA	Philadelphia 76ers	34	48	0.415	-3.51	91	-1	102	-3.9	105.7	-0.2
2011	NBA	Philadelphia 76ers	35	31	0.53	3.59	89.7	-1.6	103.9	-0.7	99.2	-5.4
2010	NBA	Philadelphia 76ers	41	41	0.5	1.01	91.7	-0.4	106.6	-0.7	105	-2.3
2009	NBA	Philadelphia 76ers	27	55	0.329	-3.93	91.6	-1.1	106.1	-1.5	110.3	2.7
2008	NBA	Philadelphia 76ers	41	41	0.5	0.16	90	-1.7	107.9	-0.4	107.8	-0.5
2007	NBA	Philadelphia 76ers	40	42	0.488	0.19	90.4	-2	106.4	-1.1	106	-1.5
2006	NBA	Philadelphia 76ers	35	47	0.427	-3.26	90.7	-1.2	103.6	-2.9	106.9	0.4
2005	NBA	Philadelphia 76ers	38	44	0.463	-2.1	92.7	2.2	106	-0.2	108.1	1.9
2004	NBA	Philadelphia 76ers	43	39	0.524	-1.07	94.9	4	103.5	-2.6	104.3	-1.8
2003	NBA	Philadelphia 76ers	33	49	0.402	-2.95	88	-2.1	99.1	-3.8	101.9	-1
2002	NBA	Philadelphia 76ers	48	34	0.585	1.76	91.4	0.4	105	1.4	102.5	-1.1
2001	NBA	Philadelphia 76ers	43	39	0.524	1.27	88.9	-1.8	102.1	-2.4	100.3	-4.2
2000	NBA	Philadelphia 76ers	56	26	0.683	3.64	90.6	-0.7	103.6	0.6	98.9	-4.1
1999	NBA	Philadelphia 76ers	49	33	0.598	1.02	92.7	-0.4	101.5	-2.6	100	-4.1
1998	NBA	Philadelphia 76ers	28	22	0.56	2.56	88.6	-0.3	99.9	-2.3	97.6	-4.6
1997	NBA	Philadelphia 76ers	31	51	0.378	-1.89	90.4	0.1	102.8	-2.2	105.4	0.4
1996	NBA	Philadelphia 76ers	22	60	0.268	-5.89	95.3	5.2	104.6	-2.1	111.4	4.7
1995	NBA	Philadelphia 76ers	18	64	0.22	-9.45	92.2	0.4	102.2	-5.4	113	5.4
1994	NBA	Philadelphia 76ers	24	58	0.293	-5.06	91	-1.9	104.1	-4.2	109.7	1.4
1993	NBA	Philadelphia 76ers	25	57	0.305	-7.37	95.7	0.6	101.7	-4.6	109.7	3.4
1992	NBA	Philadelphia 76ers	26	56	0.317	-5.25	98.5	1.7	104.6	-3.4	110.4	2.4
1991	NBA	Philadelphia 76ers	35	47	0.427	-1.34	93.7	-2.9	108.3	0.1	109.7	1.5
1990	NBA	Philadelphia 76ers	44	38	0.537	-0.39	95.7	-2.1	107.9	0	108.1	0.2
1989	NBA	Philadelphia 76ers	53	29	0.646	4.23	96.5	-1.8	113.5	5.4	108.4	0.3
1988	NBA	Philadelphia 76ers	46	36	0.561	1.68	98.5	-2.1	113	5.2	111.5	3.7
1987	NBA	Philadelphia 76ers	36	46	0.439	-0.79	96	-3.6	108.8	0.8	110.3	2.3
1986	NBA	Philadelphia 76ers	45	37	0.549	0.11	97.3	-3.5	108.3	0	108.5	0.2
1985	NBA	Philadelphia 76ers	54	28	0.659	2.46	100.5	-1.6	108.6	1.4	106.3	-0.9
1984	NBA	Philadelphia 76ers	58	24	0.707	4.17	100.8	-1.3	111.3	3.4	107.3	-0.6
1983	NBA	Philadelphia 76ers	52	30	0.634	2.39	99.6	-1.8	106.8	-0.8	104.6	-3
1982	NBA	Philadelphia 76ers	65	17	0.793	7.53	102.7	-0.4	108.3	3.6	100.9	-3.8
1981	NBA	Philadelphia 76ers	58	24	0.707	5.74	100.6	-0.3	109.6	2.7	103.9	-3
1980	NBA	Philadelphia 76ers	62	20	0.756	7.76	103.4	1.6	107	1.5	99.5	-6
1979	NBA	Philadelphia 76ers	59	23	0.72	4.04	103	-0.1	105	-0.3	101	-4.3
1978	NBA	Philadelphia 76ers	47	35	0.573	1.74	106.7	0.9	102	-1.8	100.3	-3.5
1977	NBA	Philadelphia 76ers	55	27	0.671	4.87	108.4	1.7	105	4.1	100.3	-0.6
1976	NBA	Philadelphia 76ers	50	32	0.61	3.78	108.3	1.8	101.2	1.7	97.6	-1.9
1975	NBA	Philadelphia 76ers	46	36	0.561	0.33	107.5	2	98.2	-0.1	98	-0.3
1974	NBA	Philadelphia 76ers	34	48	0.415	-2.6	103.4	-1.1	95.8	-1.9	98.8	1.1
1973	NBA	Philadelphia 76ers	25	57	0.305	-5.94	108.3	0.5	93.1	-4.6	99	1.3
2018	NBA	Phoenix Suns	17	59	0.224	-8.51	100.5	0.5	105.4	-4.8	114.6	4.4
2017	NBA	Phoenix Suns	21	61	0.256	-8.8	100.3	3	103.5	-5.1	112.8	4.2
2016	NBA	Phoenix Suns	24	58	0.293	-5.14	100.3	3.9	106.6	-2.2	112.2	3.4
2015	NBA	Phoenix Suns	23	59	0.28	-6.32	98.5	2.7	102.2	-4.2	109	2.6
2014	NBA	Phoenix Suns	39	43	0.476	-0.38	96.3	2.4	105.3	-0.3	106.2	0.6
2013	NBA	Phoenix Suns	48	34	0.585	3.02	95.8	1.9	109.5	2.8	106.7	0
2012	NBA	Phoenix Suns	25	57	0.305	-5.75	93.4	1.4	101.2	-4.7	108.1	2.2
2011	NBA	Phoenix Suns	33	33	0.5	0.29	92.6	1.3	106.2	1.6	106.5	1.9
2010	NBA	Phoenix Suns	40	42	0.488	-0.46	94.4	2.3	109.5	2.2	110.4	3.1
2009	NBA	Phoenix Suns	54	28	0.659	4.67	95.3	2.6	115.3	7.7	110.2	2.6
2008	NBA	Phoenix Suns	46	36	0.561	1.62	96	4.3	113.6	5.3	111.6	3.3
2007	NBA	Phoenix Suns	55	27	0.671	5.14	96.7	4.3	113.3	5.8	108.1	0.6
2006	NBA	Phoenix Suns	61	21	0.744	7.28	95.6	3.7	113.9	7.4	106.4	-0.1
2005	NBA	Phoenix Suns	54	28	0.659	5.48	95.8	5.3	111.5	5.3	105.8	-0.4
2004	NBA	Phoenix Suns	62	20	0.756	7.08	95.9	5	114.5	8.4	107.1	1
2003	NBA	Phoenix Suns	29	53	0.354	-2.94	92.6	2.5	101.4	-1.5	105.5	2.6
2002	NBA	Phoenix Suns	44	38	0.537	1.57	91.5	0.5	103.7	0.1	102.5	-1.1
2001	NBA	Phoenix Suns	36	46	0.439	-0.3	91.4	0.7	103.3	-1.2	104	-0.5
2000	NBA	Phoenix Suns	51	31	0.622	2.63	93.1	1.8	100.3	-2.7	98	-5
1999	NBA	Phoenix Suns	53	29	0.646	5.24	94	0.9	104.6	0.5	99	-5.1
1998	NBA	Phoenix Suns	27	23	0.54	2.15	90	1.1	105.8	3.6	103.3	1.1
1997	NBA	Phoenix Suns	56	26	0.683	4.44	91.4	1.1	107.4	2.4	101.8	-3.2
1996	NBA	Phoenix Suns	40	42	0.488	0.21	93.2	3.1	109.3	2.6	108.6	1.9
1995	NBA	Phoenix Suns	41	41	0.5	0.28	93.2	1.4	110.3	2.7	110	2.4
1994	NBA	Phoenix Suns	59	23	0.72	3.86	95.9	3	114.5	6.2	110.4	2.1
1993	NBA	Phoenix Suns	56	26	0.683	4.68	96.7	1.6	111.7	5.4	106.8	0.5
1992	NBA	Phoenix Suns	62	20	0.756	6.27	99.8	3	113.3	5.3	106.7	-1.3
1991	NBA	Phoenix Suns	53	29	0.646	5.68	99.4	2.8	112.1	3.9	106.2	-2
1990	NBA	Phoenix Suns	55	27	0.671	6.49	101	3.2	112.6	4.7	106.1	-1.8
1989	NBA	Phoenix Suns	54	28	0.659	7.09	100.7	2.4	113.1	5	106.2	-1.9
1988	NBA	Phoenix Suns	55	27	0.671	6.84	104.5	3.9	113.1	5.3	105.7	-2.1
1987	NBA	Phoenix Suns	28	54	0.341	-4.8	101.2	1.6	107	-1	111.4	3.4
1986	NBA	Phoenix Suns	36	46	0.439	-2.63	102	1.2	108	-0.3	110.3	2
1985	NBA	Phoenix Suns	32	50	0.39	-3.16	104.8	2.7	104.3	-2.9	107.2	0
1984	NBA	Phoenix Suns	36	46	0.439	-2.34	102.5	0.4	104.7	-3.2	106.8	-1.1
1983	NBA	Phoenix Suns	41	41	0.5	0.65	101.4	0	108.9	1.3	108	0.4
1982	NBA	Phoenix Suns	53	29	0.646	4.61	101.6	-1.5	105.1	0.4	100.1	-4.6
1981	NBA	Phoenix Suns	46	36	0.561	3.05	99.5	-1.4	105.8	-1.1	102.4	-4.5
1980	NBA	Phoenix Suns	57	25	0.695	4.83	104.7	2.9	104.6	-0.9	99.4	-6.1
1979	NBA	Phoenix Suns	55	27	0.671	3.25	104.8	1.7	105.6	0.3	102.2	-3.1
1978	NBA	Phoenix Suns	50	32	0.61	3.55	108.5	2.7	105.7	1.9	102.4	-1.4
1977	NBA	Phoenix Suns	49	33	0.598	3.5	111.4	4.7	100.3	-0.6	97	-3.9
1976	NBA	Phoenix Suns	34	48	0.415	0.64	106.6	0.1	98.1	-1.4	97.5	-2
1975	NBA	Phoenix Suns	42	40	0.512	0.59	105.6	0.1	98.5	0.2	97.9	-0.4
1974	NBA	Phoenix Suns	32	50	0.39	-2.36	104.3	-0.2	96.4	-1.3	98.6	0.9
1973	NBA	Phoenix Suns	30	52	0.366	-3.2	109.6	1.8	98.1	0.4	101.3	3.6
2018	NBA	Portland Trail Blazers	47	27	0.635	4.21	99.2	-0.8	114.4	4.2	110.5	0.3
2017	NBA	Portland Trail Blazers	49	33	0.598	2.6	96.5	-0.8	109.1	0.5	106.4	-2.2
2016	NBA	Portland Trail Blazers	41	41	0.5	-0.23	96.7	0.3	110.3	1.5	110.8	2
2015	NBA	Portland Trail Blazers	44	38	0.537	0.98	96	0.2	108.8	2.4	108	1.6
2014	NBA	Portland Trail Blazers	51	31	0.622	4.41	94.2	0.3	108.2	2.6	103.7	-1.9
2013	NBA	Portland Trail Blazers	54	28	0.659	4.44	94.9	1	111.5	4.8	107.4	0.7
2012	NBA	Portland Trail Blazers	33	49	0.402	-2.53	91.4	-0.6	105.8	-0.1	109.2	3.3
2011	NBA	Portland Trail Blazers	28	38	0.424	-0.22	91.2	-0.1	105.7	1.1	106.4	1.8
2010	NBA	Portland Trail Blazers	48	34	0.585	1.85	87.9	-4.2	108.8	1.5	107.1	-0.2
2009	NBA	Portland Trail Blazers	50	32	0.61	3.18	87.7	-5	110.8	3.2	107.1	-0.5
2008	NBA	Portland Trail Blazers	54	28	0.659	5	86.6	-5.1	113.9	5.6	107.8	-0.5
2007	NBA	Portland Trail Blazers	41	41	0.5	-0.52	87.9	-4.5	107.3	-0.2	108.4	0.9
2006	NBA	Portland Trail Blazers	32	50	0.39	-3.78	88.3	-3.6	105.1	-1.4	109.9	3.4
2005	NBA	Portland Trail Blazers	21	61	0.256	-8.91	87.6	-2.9	101.1	-5.1	111.9	5.7
2004	NBA	Portland Trail Blazers	27	55	0.329	-3.45	89.8	-1.1	103.2	-2.9	107.7	1.6
2003	NBA	Portland Trail Blazers	41	41	0.5	-0.58	86.2	-3.9	103.7	0.8	105.1	2.2
2002	NBA	Portland Trail Blazers	50	32	0.61	2.97	89.4	-1.6	105.5	1.9	102.6	-1
2001	NBA	Portland Trail Blazers	49	33	0.598	3.21	89.3	-1.4	107.4	2.9	104	-0.5
2000	NBA	Portland Trail Blazers	50	32	0.61	4.52	89.1	-2.2	106.5	3.5	101.8	-1.2
1999	NBA	Portland Trail Blazers	59	23	0.72	6.36	89.9	-3.2	107.9	3.8	100.8	-3.3
1998	NBA	Portland Trail Blazers	35	15	0.7	5.67	89.2	0.3	104.8	2.6	97.7	-4.5
1997	NBA	Portland Trail Blazers	46	36	0.561	0.83	90	-0.3	104	-1	102.4	-2.6
1996	NBA	Portland Trail Blazers	49	33	0.598	3.56	90.9	0.8	107.9	1.2	103.3	-3.4
1995	NBA	Portland Trail Blazers	44	38	0.537	2.21	92.6	0.8	106	-1.6	103.5	-4.1
1994	NBA	Portland Trail Blazers	44	38	0.537	3.8	93.8	0.9	109.7	1.4	105.7	-2.6
1993	NBA	Portland Trail Blazers	47	35	0.573	2.6	98.8	3.7	108.1	1.8	105.5	-0.8
1992	NBA	Portland Trail Blazers	51	31	0.622	2.92	99.1	2.3	108.3	0.3	105.2	-2.8
1991	NBA	Portland Trail Blazers	57	25	0.695	6.94	99	2.4	111.4	3.2	104.2	-4
1990	NBA	Portland Trail Blazers	63	19	0.768	8.47	100.5	2.7	112.8	4.9	104.3	-3.6
1989	NBA	Portland Trail Blazers	59	23	0.72	6.48	102.3	4	110.5	2.4	104.4	-3.7
1988	NBA	Portland Trail Blazers	39	43	0.476	0.92	103.9	3.3	109.4	1.6	108	0.2
1987	NBA	Portland Trail Blazers	53	29	0.646	3.59	103.6	4	111.8	3.8	107.4	-0.6
1986	NBA	Portland Trail Blazers	49	33	0.598	2.57	105	4.2	111.5	3.2	108.6	0.3
1985	NBA	Portland Trail Blazers	40	42	0.488	0.61	104.5	2.4	109.2	2	108.2	1
1984	NBA	Portland Trail Blazers	42	40	0.512	2.8	103.5	1.4	110.4	2.5	107.2	-0.7
1983	NBA	Portland Trail Blazers	48	34	0.585	3.13	101.1	-0.3	111.2	3.6	107.7	0.1
1982	NBA	Portland Trail Blazers	46	36	0.561	1.88	101	-2.1	106	1.3	103.9	-0.8
1981	NBA	Portland Trail Blazers	42	40	0.512	0.39	100.5	-0.4	108.8	1.9	108.2	1.3
1980	NBA	Portland Trail Blazers	45	37	0.549	0.52	103	1.2	106.5	1	105.7	0.2
1979	NBA	Portland Trail Blazers	38	44	0.463	-0.87	98.6	-4.5	103.4	-1.9	104.3	-1
1978	NBA	Portland Trail Blazers	45	37	0.549	1.12	103.4	-2.4	104.3	0.5	103.1	-0.7
1977	NBA	Portland Trail Blazers	58	24	0.707	5.92	104.2	-2.5	103.1	2.2	97.2	-3.7
1976	NBA	Portland Trail Blazers	49	33	0.598	5.39	108	1.5	103.2	3.7	98	-1.5
1975	NBA	Portland Trail Blazers	37	45	0.451	-1.11	107.7	2.2	96.4	-1.9	97.6	-0.7
1974	NBA	Portland Trail Blazers	38	44	0.463	0.27	104.7	0.2	98.1	0.4	97.7	0
1973	NBA	Portland Trail Blazers	27	55	0.329	-4.3	108.5	0.7	98.2	0.5	102.6	4.9
2018	NBA	Sacramento Kings	37	37	0.5	-0.4	103.5	3.5	109.9	-0.3	110.5	0.3
2017	NBA	Sacramento Kings	27	55	0.329	-6.6	94.9	-2.4	103.7	-4.9	111.1	2.5
2016	NBA	Sacramento Kings	32	50	0.39	-3.29	94.9	-1.5	107.3	-1.5	111.3	2.5
2015	NBA	Sacramento Kings	33	49	0.402	-2.32	100	4.2	106	-0.4	108.4	2
2014	NBA	Sacramento Kings	29	53	0.354	-3.07	95.4	1.5	105.3	-0.3	109.2	3.6
2013	NBA	Sacramento Kings	28	54	0.341	-2.08	94.4	0.5	105.7	-1	108.8	2.1
2012	NBA	Sacramento Kings	28	54	0.341	-4.26	93.6	1.6	106.2	0.3	111.4	5.5
2011	NBA	Sacramento Kings	22	44	0.333	-4.95	94.7	3.4	103.8	-0.8	109.8	5.2
2010	NBA	Sacramento Kings	24	58	0.293	-4.8	95.2	3.1	103.5	-3.8	109	1.7
2009	NBA	Sacramento Kings	25	57	0.305	-4.06	94	1.3	105.3	-2.3	109.9	2.3
2008	NBA	Sacramento Kings	17	65	0.207	-8.6	94.2	2.5	105.5	-2.8	114.7	6.4
2007	NBA	Sacramento Kings	38	44	0.463	-1.86	94.7	2.3	107.5	0	109.9	2.4
2006	NBA	Sacramento Kings	33	49	0.402	-1.35	94.8	2.9	106.2	-0.3	108	1.5
2005	NBA	Sacramento Kings	44	38	0.537	1.61	91.9	1.4	106.7	0.5	105	-1.2
2004	NBA	Sacramento Kings	50	32	0.61	2.56	93	2.1	110.5	4.4	108.2	2.1
2003	NBA	Sacramento Kings	55	27	0.671	5.41	92.8	2.7	110.3	7.4	104.9	2
2002	NBA	Sacramento Kings	59	23	0.72	6.68	95.4	4.4	105.9	2.3	99.1	-4.5
2001	NBA	Sacramento Kings	61	21	0.744	7.61	95.6	4.9	109	4.5	101.1	-3.4
2000	NBA	Sacramento Kings	55	27	0.671	6.07	94.4	3.1	105.6	2.6	99.6	-3.4
1999	NBA	Sacramento Kings	44	38	0.537	3.04	99.3	6.2	105	0.9	102.1	-2
1998	NBA	Sacramento Kings	27	23	0.54	-0.89	96	7.1	102.7	0.5	103.1	0.9
1997	NBA	Sacramento Kings	27	55	0.329	-5.83	92.1	1.8	100.8	-4.2	106.9	1.9
1996	NBA	Sacramento Kings	34	48	0.415	-3.64	91	0.9	105	-1.7	108.7	2
1995	NBA	Sacramento Kings	39	43	0.476	-2.62	93.4	1.6	106.2	-1.4	109.1	1.5
1994	NBA	Sacramento Kings	39	43	0.476	-0.74	92.3	-0.6	105.5	-2.8	106.5	-1.8
1993	NBA	Sacramento Kings	28	54	0.341	-5.32	97.5	2.4	103.3	-3	109.2	2.9
1992	NBA	Sacramento Kings	25	57	0.305	-3	100.8	4	106.5	-1.5	109.6	1.6
1991	NBA	Sacramento Kings	29	53	0.354	-5.63	99.6	3	103.9	-4.3	109.9	1.7
1990	NBA	Sacramento Kings	25	57	0.305	-6.27	94.7	-3.1	102	-5.9	109.1	1.2
1989	NBA	Sacramento Kings	23	59	0.28	-4.41	96.7	-1.6	104.8	-3.3	110	1.9
1988	NBA	Sacramento Kings	27	55	0.329	-5.35	100.5	-0.1	104.5	-3.3	110	2.2
1987	NBA	Sacramento Kings	24	58	0.293	-5.84	100.9	1.3	106.5	-1.5	112.1	4.1
1986	NBA	Sacramento Kings	29	53	0.354	-3.34	101.3	0.5	108.9	0.6	112.1	3.8
1985	NBA	Sacramento Kings	37	45	0.451	-3.19	102	-0.1	106.2	-1	109.2	2
1984	NBA	Sacramento Kings	31	51	0.378	-2.71	104.4	2.3	109.5	1.6	112.1	4.2
1983	NBA	Sacramento Kings	38	44	0.463	-1.62	102.9	1.5	106.5	-1.1	108	0.4
1982	NBA	Sacramento Kings	45	37	0.549	1.04	106.6	3.5	106.2	1.5	104.9	0.2
1981	NBA	Sacramento Kings	30	52	0.366	-3.25	101.8	0.9	104.2	-2.7	107.2	0.3
1980	NBA	Sacramento Kings	40	42	0.488	-0.49	101.3	-0.5	104.7	-0.8	104.7	-0.8
1979	NBA	Sacramento Kings	47	35	0.573	2.82	103.2	0.1	104	-1.3	101	-4.3
1978	NBA	Sacramento Kings	48	34	0.585	2.73	107.3	1.5	104.5	0.7	101.9	-1.9
1977	NBA	Sacramento Kings	31	51	0.378	-1.76	108.2	1.5	100.5	-0.4	102.2	1.3
1976	NBA	Sacramento Kings	40	42	0.488	0.93	106.4	-0.1	100.5	1	99.6	0.1
1975	NBA	Sacramento Kings	31	51	0.378	-2.83	105.7	0.2	97.4	-0.9	100.1	1.8
1974	NBA	Sacramento Kings	44	38	0.537	-0.16	104.4	-0.1	96.8	-0.9	97.1	-0.6
1973	NBA	Sacramento Kings	33	49	0.402	-3.24	106.1	-1.7	96	-1.7	99.5	1.8
2018	NBA	San Antonio Spurs	43	32	0.573	1.91	98.5	-1.5	112.8	2.6	111.3	1.1
2017	NBA	San Antonio Spurs	47	35	0.573	2.89	95	-2.3	107.9	-0.7	104.8	-3.8
2016	NBA	San Antonio Spurs	61	21	0.744	7.13	94.2	-2.2	111.1	2.3	103.5	-5.3
2015	NBA	San Antonio Spurs	67	15	0.817	10.28	93.8	-2	110.3	3.9	99	-7.4
2014	NBA	San Antonio Spurs	55	27	0.671	6.34	93.8	-0.1	108.5	2.9	102	-3.6
2013	NBA	San Antonio Spurs	62	20	0.756	8	95	1.1	110.5	3.8	102.4	-4.3
2012	NBA	San Antonio Spurs	58	24	0.707	6.67	94.2	2.2	108.3	2.4	101.6	-4.3
2011	NBA	San Antonio Spurs	50	16	0.758	7.28	92.9	1.6	110.9	6.3	103.2	-1.4
2010	NBA	San Antonio Spurs	61	21	0.744	5.86	92.3	0.2	111.8	4.5	105.6	-1.7
2009	NBA	San Antonio Spurs	50	32	0.61	5.07	91.7	-1	110	2.4	104.5	-3.1
2008	NBA	San Antonio Spurs	54	28	0.659	3.36	88.4	-3.3	108.5	0.2	104.3	-4
2007	NBA	San Antonio Spurs	56	26	0.683	5.1	88.8	-3.6	107.2	-0.3	101.8	-5.7
2006	NBA	San Antonio Spurs	58	24	0.707	8.35	89.8	-2.1	109.2	2.7	99.9	-6.6
2005	NBA	San Antonio Spurs	63	19	0.768	6.69	88.5	-2	107.3	1.1	99.6	-6.6
2004	NBA	San Antonio Spurs	59	23	0.72	7.84	88.9	-2	107.5	1.4	98.8	-7.3
2003	NBA	San Antonio Spurs	57	25	0.695	7.51	89.2	-0.9	102.2	-0.7	94.1	-8.8
2002	NBA	San Antonio Spurs	60	22	0.732	5.65	90	-1	105.6	2	99.7	-3.9
2001	NBA	San Antonio Spurs	58	24	0.707	6.28	90	-0.7	106.5	2	99.7	-4.8
2000	NBA	San Antonio Spurs	58	24	0.707	7.92	89.6	-1.7	106.6	3.6	98	-5
1999	NBA	San Antonio Spurs	53	29	0.646	5.92	90.8	-2.3	105	0.9	98.6	-5.5
1998	NBA	San Antonio Spurs	37	13	0.74	7.12	88.6	-0.3	104	1.8	95	-7.2
1997	NBA	San Antonio Spurs	56	26	0.683	3.3	88.4	-1.9	103.8	-1.2	99.4	-5.6
1996	NBA	San Antonio Spurs	20	62	0.244	-7.93	87.3	-2.8	103.3	-3.4	112.3	5.6
1995	NBA	San Antonio Spurs	59	23	0.72	5.98	93.3	1.5	110.2	2.6	103.5	-4.1
1994	NBA	San Antonio Spurs	62	20	0.756	5.9	94.6	1.7	111.7	3.4	105.4	-2.9
1993	NBA	San Antonio Spurs	55	27	0.671	5.05	90.1	-5	110.4	4.1	104.6	-1.7
1992	NBA	San Antonio Spurs	49	33	0.598	2.21	95.4	-1.4	109.6	1.6	106.8	-1.2
1991	NBA	San Antonio Spurs	47	35	0.573	2.81	96.2	-0.4	107.5	-0.7	104.1	-4.1
1990	NBA	San Antonio Spurs	55	27	0.671	4.3	98.6	0.8	107.8	-0.1	103.3	-4.6
1989	NBA	San Antonio Spurs	56	26	0.683	3.58	98.5	0.2	107.7	-0.4	104.2	-3.9
1988	NBA	San Antonio Spurs	21	61	0.256	-7.45	104.1	3.5	100.9	-6.9	107.9	0.1
1987	NBA	San Antonio Spurs	31	51	0.378	-5.02	104.4	4.8	108.2	0.2	112.8	4.8
1986	NBA	San Antonio Spurs	28	54	0.341	-5.09	101.7	0.9	105.9	-2.4	110.8	2.5
1985	NBA	San Antonio Spurs	35	47	0.427	-2.06	103.8	1.7	106.5	-0.7	108.2	1
1984	NBA	San Antonio Spurs	41	41	0.5	0.63	103.9	1.8	109.9	2	109	1.1
1983	NBA	San Antonio Spurs	37	45	0.451	-0.5	106.5	5.1	111.2	3.6	111.4	3.8
1982	NBA	San Antonio Spurs	53	29	0.646	3.1	103.3	0.2	110.1	5.4	106.6	1.9
1981	NBA	San Antonio Spurs	48	34	0.585	1.79	102.5	1.6	109.9	3	107.6	0.7
1980	NBA	San Antonio Spurs	52	30	0.634	2.18	102.9	1.1	108.5	3	105.7	0.2
1979	NBA	San Antonio Spurs	41	41	0.5	-0.24	109.5	6.4	108.6	3.3	109	3.7
1978	NBA	San Antonio Spurs	48	34	0.585	4.97	110.6	4.8	107.1	3.3	102.4	-1.4
1977	NBA	San Antonio Spurs	52	30	0.634	3.2	109	2.3	104.5	3.6	101.4	0.5
1976	NBA	San Antonio Spurs	44	38	0.537	0.53	111.8	5.3	102.5	3	102	2.5
2018	NBA	Toronto Raptors	52	23	0.693	5.06	100.2	0.2	112.8	2.6	107.4	-2.8
2017	NBA	Toronto Raptors	59	23	0.72	7.29	97.4	0.1	113.8	5.2	105.9	-2.7
2016	NBA	Toronto Raptors	51	31	0.622	3.65	94.7	-1.7	112.3	3.5	107.8	-1
2015	NBA	Toronto Raptors	56	26	0.683	4.08	92.9	-2.9	110	3.6	105.2	-1.2
2014	NBA	Toronto Raptors	49	33	0.598	2.45	92.8	-1.1	111	5.4	107.7	2.1
2013	NBA	Toronto Raptors	48	34	0.585	2.55	91.8	-2.1	108.8	2.1	105.3	-1.4
2012	NBA	Toronto Raptors	34	48	0.415	-1.96	90.4	-1.6	105.9	0	107.5	1.6
2011	NBA	Toronto Raptors	23	43	0.348	-3.67	89.3	-2	100.8	-3.8	104.5	-0.1
2010	NBA	Toronto Raptors	22	60	0.268	-6.28	92.9	0.8	106.1	-1.2	112.9	5.6
2009	NBA	Toronto Raptors	40	42	0.488	-1.83	93.1	0.4	111.3	3.7	113.2	5.6
2008	NBA	Toronto Raptors	33	49	0.402	-2.54	92	0.3	107	-1.3	110	1.7
2007	NBA	Toronto Raptors	41	41	0.5	2.47	90.2	-2.2	110.2	2.7	107	-0.5
2006	NBA	Toronto Raptors	47	35	0.573	0.61	92.6	0.7	107	0.5	106	-0.5
2005	NBA	Toronto Raptors	27	55	0.329	-3.03	91.1	0.6	109.5	3.3	112.7	6.5
2004	NBA	Toronto Raptors	33	49	0.402	-1.81	92.7	1.8	106.9	0.8	108.7	2.6
2003	NBA	Toronto Raptors	33	49	0.402	-3.42	86.8	-3.3	97	-5.9	100.4	-2.5
